,AZ,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,DZ,EZ,FZ,GZ,HZ,IZ,JA,JB,JC,KZ,LZ,MA,MB,MC,NZ,OZ,PZ,QA,QB,RZ,SZ,TZ,TOTAL
AZ,17487.41,0,37975.565,219.937,2020.987,0,69.285,0,219,0,0,0,0.861,0,0,21.48,15.224,347.816,0.981,0,1574.918,11.847,0.792,0,2,0,0,2.039,0,26.223,124,31,1,8,48.719,20.65,0,60229.734
BZ,275.626,108.112,649.253,28.594,120.135,20825,1887.005,25.133,984.881,1657.967,16.831,18.091,22.396,63.122,65.326,11258.155,31.25,1441.051,49.993,14.133,134.318,2.593,10.548,4.792,11,0.857,16.321,25.586,3.948,58.512,153,17.443,28.7,5.053,7.904,23.124,0,40045.752
CA,8411.067,37.357,33563.254,327.644,183.916,87,2526.295,390.725,136.322,202.818,52.523,44.135,78.75,141.559,220.036,53.601,156.453,481.646,2966.927,789.607,28083.045,565.485,320.907,281.528,98.974,148.67,1123.357,799.547,437.452,1387.366,791,3676.471,3053.174,842.901,1669.723,346.207,0,94477.443
CB,203.517,5.64,632.524,5939.536,1165.577,65,311.999,116.346,313.887,197.618,166.931,94.823,233.733,1142.433,933.263,36.847,111.843,1013.393,2823.406,338.509,521.317,1094.794,213.222,23.966,85.974,134.357,155.186,55.247,180.196,420.043,452,284.281,914.046,186.579,453.506,177.973,0,21199.512
CC,896.307,67.282,2233.532,221.242,7506.464,41,808.792,522.103,926.466,342.092,189.425,157.539,218.863,848.584,1418.173,38.472,404.117,5691.843,2793.857,438.199,277.505,5421.177,526.694,306.439,1879.233,579.968,2577.785,629.204,210.809,1687.696,1377,840.695,221.417,359.989,884.134,490.174,0,44034.271
CD,2941.33,131.081,816.477,73.938,224.566,2015,5951.313,58.547,403.151,400.511,54.203,48.983,127.57,201.827,212.462,587.893,465.728,2219.813,4630.116,13377.389,189.324,350.159,331.641,320.938,506.807,122.813,943.599,217.241,349.053,1202.588,1586,364.745,263.659,165.283,564.522,286.291,0,42706.559
CE,8103.004,136.747,1567.652,884.401,1883.82,989,16116.339,2382.873,9082.617,1997.444,214.632,683.198,641.644,1728.569,1471.995,3725.038,232.808,3436.359,1737.311,258.982,297.068,718.71,125.809,191.283,48.974,1054.293,365.852,519.977,225.421,629.212,429,282.075,909.493,66.807,365.028,225.792,0,63729.225
CF,1221.763,0,139.525,3.639,1.578,3,359.715,4201.896,8.502,1.619,0.59,1.069,1.157,2.476,41.541,1.774,3.67,4.111,21.279,13.364,2.657,0.563,1.059,7.05,19,0.55,29.055,49.194,355.656,91.187,182,16.363,5852.272,228.922,7.501,13.349,0,12888.647
CG,872.217,353.057,3698.42,376.73,701.36,964,2085.694,493.739,6331.471,1659.751,1184.092,1250.859,1710.587,5325.275,2886.169,664.744,548.633,23266.265,5057.627,1111.425,249.969,491.632,554.595,162.1,133.781,314.353,838.995,513.738,265.087,1157.369,41,286.097,1013.533,127.336,154.538,304.264,0,67150.503
CH,635.536,146.751,1579.888,225.682,766.327,800,1486.13,296.461,1449.028,25290.581,1785.042,3376.593,6348.528,9491.252,7338.617,549.885,1974.182,19529.161,941.561,656.953,214.033,214.415,293.325,174.325,7,411.776,403.074,244.002,109.414,1452.442,843,42.72,328.263,159.087,119.923,431.493,0,90116.451
CI,0,12.305,82.965,18.484,113.501,124,138.781,11.018,214.61,621.028,3297.784,1718.783,1324.049,6401.331,1513.991,325.084,88.722,2138.901,1416.117,542.602,85.898,184.219,1655.885,1261.31,323.949,33.506,832.035,1234.039,213.937,988.408,810,187.831,1696.75,205.924,424.769,804.536,0,31047.055
CJ,52.13,22.726,217.518,30.562,234.477,220,306.732,21.573,203.595,1230.129,1068.522,2131.162,1340.098,2372.2,1016.381,482.601,151.654,5312.841,1832.717,696.641,142.33,113.324,1137.096,678.755,75.833,557.692,1133.686,389.623,77.759,606.041,82,20.141,48.651,8.765,101.398,278.421,0,24395.775
CK,399.852,471.948,1047.038,175.469,401.783,361,545.679,55.414,833.609,1817.061,745.535,552.764,4339.419,7902.266,5379.969,911.792,855.893,7242.317,2306.038,998.907,167.634,259.186,295.298,132.111,45,39.149,680.128,192.559,143.126,908.196,430,91.749,181.68,232.939,249.791,418.784,0,41811.078
CL,237.369,6.59,249.397,10.987,27.966,43.977,67.74,1.158,58.737,106.625,26.182,21.187,852.155,36898.533,497.822,44.778,351.268,174.237,5574.783,1658.765,26.79,106.713,96.195,49.921,47.858,16.297,135.075,139.242,45.475,425.96,3395,34.181,128.306,146.432,169.325,195.554,0,52068.583
CM,2965.484,113.266,430.883,29.481,291.569,97,304.638,85.414,142.482,650.138,456.221,173.577,762.594,6895.36,8931.875,76.898,118.736,2803.731,3354.577,1042.08,258.906,250.71,310.9,80.683,228.833,22.505,295.182,445.29,222.486,468.098,2060,77.982,5459.47,626.023,1229.145,341.886,0,42104.103
DZ,1253.781,104.052,2597.455,162.394,1362.792,737,2895.931,243.179,1343.534,2676.65,231.864,164.345,260.954,740.552,174.562,41026.831,485.484,288.129,3283.54,1641.879,1130.156,1453.615,926.871,200.039,508.833,528.187,988.558,287.502,225.421,360.858,1796,1220.862,876.094,589.021,1186.598,283.824,0,74237.348
EZ,503.267,27.76,1245.446,194.97,816.977,547,685.746,195.033,565.373,3362.183,119.667,101.152,212.921,456.071,294.44,593.347,8340.255,1719.839,2220.71,624.354,471.623,552.575,305.572,442.178,316.592,1006.088,1131.464,464.217,505.093,1241.863,4282,808.289,793.992,304.671,386.647,154.966,0,35994.34
FZ,394.958,49.151,143.899,33.338,75.896,299,95.457,23.043,114.141,290.183,71.375,64.433,447.71,393.401,217.637,1237.17,398.309,45603.449,506.838,563.127,80.303,524.164,516.524,138.281,1477.121,4448.439,353.395,1353.42,108.41,948.588,4774,1485.345,347.068,717.506,1250.611,125.288,0,69670.977
GZ,303.55,104.685,1366.453,106.098,322.174,396.888,453.166,415.498,744.905,765.69,216.319,144.963,396.067,1275.953,581.877,203.484,235.822,961.843,17694.821,2967.593,345.706,671.109,228.375,566.849,228.61,343.719,1354.866,191.07,309.417,1010.735,315,134.908,289.964,226.811,460.462,195.775,0,36531.227
HZ,82.219,132.683,2848.061,241.533,927.774,923.516,1193.365,357.206,1035.401,1409.586,315.005,235.838,515.851,1286.112,669.625,445.192,549.226,2710.549,32294.577,39078.833,1523.146,1774.77,1339.412,1293.367,2314.151,896.768,3922.279,1102.523,758.897,3658.094,5211,1864.979,1012.104,513.018,1097.829,763.84,0,116298.329
IZ,38.232,57.869,478.033,40.469,113.989,119.64,243.34,127.421,221.916,344.764,80.048,61.452,152.432,381.776,214.789,163.912,172.496,411.968,8057.99,1864.042,1796.15,665.862,387.754,962.372,951.15,595.035,2661.777,530.726,368.193,2855.433,470,801.864,473.253,2198.563,684.206,266.437,0,30015.355
