Branche,AZ,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,DZ,EZ,FZ,GZ,HZ,IZ,JA,JB,JC,KZ,LZ,MA,MB,MC,NZ,OZ,PZ,QA,QB,RZ,SZ,TZ,TOTAL
Consommation intermédiaire,52972,2674,113851,11072,24137,32809,45274,13617,32246,54361,12934,13128,24539,95681,39914,68936,22270,163185,200783,104207,49285,27700,29430,32095,134079,55907,125974,29333,16592,76958,57546,24179,43370,15222,22384,16368,0,1885015
Valeur ajoutée brute,35299,1944,43787,5246,11091,2621,19595,12412,18930,25863,11497,6792,12175,29917,29451,35336,14135,107884,205731,90702,52140,23872,24854,49313,87555,250513,103778,33529,15002,104809,157116,105270,115679,65508,27591,27062,3470,1967466
PRODUCTION DES BRANCHES,88271,4618,157638,16318,35228,35430,64869,26029,51176,80224,24431,19920,36714,125598,69365,104272,36405,271069,406514,194909,101425,51572,54284,81408,221634,306420,229752,62862,31594,181767,214662,129449,159049,80730,49975,43430,3470,3852481
Production marchande ,84173,4618,156832,16318,35228,35430,64869,25916,51176,78675,24431,19271,36714,125598,60041,104272,36405,260713,406514,194909,101425,47565,54284,60302,221634,135752,228189,14378,31594,181767,25919,26072,86337,29066,24045,31103,0,3121535
Prod. pour emploi final propre ,4098,0,806,0,0,0,0,113,0,1549,0,649,0,0,9324,0,0,10356,0,0,0,4007,0,21106,0,170668,1563,36566,0,0,0,0,0,18083,30,0,3470,282388
Production non marchande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11918,0,0,188743,103377,72712,33581,25900,12327,0,448558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTION DES BRANCHES,88271,4618,157638,16318,35228,35430,64869,26029,51176,80224,24431,19920,36714,125598,69365,104272,36405,271069,406514,194909,101425,51572,54284,81408,221634,306420,229752,62862,31594,181767,214662,129449,159049,80730,49975,43430,3470,3852481
Transferts agricoles,-11790,0,11790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transf. ventes résiduelles,302,1,0,68,68,0,94,4,0,20,92,68,68,0,434,75,11836,531,0,624,1137,1494,0,392,0,5016,5158,-1779,1563,4932,-25919,-1105,-1514,-1345,-1166,-1149,0,0
Total des transferts,-11488,1,11790,68,68,0,94,4,0,20,92,68,68,0,434,75,11836,531,0,624,1137,1494,0,392,0,5016,5158,-1779,1563,4932,-25919,-1105,-1514,-1345,-1166,-1149,0,0
PRODUCTION DES PRODUITS,76783,4619,169428,16386,35296,35430,64963,26033,51176,80244,24523,19988,36782,125598,69799,104347,48241,271600,406514,195533,102562,53066,54284,81800,221634,311436,234910,61083,33157,186699,188743,128344,157535,79385,48809,42281,3470,3852481
