,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pL,100,99.49587706121018,98.9208622686798,111.339916509411,132.79952034422357,117.01644978511436,111.91435451097531,119.48477868127287,117.45634268556671,118.94690850209513,120.53132572672646,122.22754097805387,123.76142311905647,125.46344299894393,127.08477802206134,128.79665400386577,130.60847195920283,131.61442351008094,132.51269771974833,133.52886255189568,134.58699212223672,135.91860737569152,137.34746612126847,138.61694059183012,139.93074292183678,141.04671697406596,142.6396231234943,144.2514416196761,145.83343871441093,147.38954168645552,148.9529213861298,150.38048782689077,151.81502742136166,153.29245581788987,154.8263025459051,156.45236198728526
pK,39.533651531028134,39.687916095353614,39.867323223966416,44.88739821000899,53.357761947361844,46.79574509960122,44.88353673778717,47.901033668482825,47.04883778811424,47.51678551504291,48.038477507390816,48.538265949418715,48.95319995753733,49.41854425445129,49.838780978484614,50.28269289919052,50.61623791770252,50.64221588248631,50.68226492468451,50.72992025150737,50.799623317048415,50.886695281305485,50.968925011713026,51.04176182202606,51.090129123326506,51.11718287101499,51.09742131657383,51.086191100171106,51.06575353798046,51.03818526950604,51.015095025799695,50.94709786562329,50.88426971421914,50.838367990755664,50.812939606534606,50.817875802016985
pI,418.77976654359134,418.6613600858148,418.5261904747855,418.5218522592396,418.5661630915091,418.62783367944536,418.5902914370951,418.5953940037183,418.60626729895364,418.6419335206789,418.6724061726047,418.7202853072631,418.77276649036844,418.8286218467771,418.887032008852,418.94756991034734,419.04681789434056,419.1440493047447,419.2261961653543,419.3182964170359,419.40849638123075,419.5217989476377,419.6460049893513,419.756052878754,419.8771646302597,419.98380747973005,420.15248566971354,420.32076979759046,420.48879716183114,420.656471570774,420.82381433809775,420.9910827519207,421.1580645705071,421.3247827626847,421.4913791530588,421.6582343622112
B,-57226.09880664712,-57860.822853763544,-58446.65350816139,-66422.33027048041,-79978.39912350975,-71135.01711762063,-68678.69596055298,-73939.36681875291,-73355.06981453238,-74893.96468207361,-76577.31206519857,-78277.90448670881,-79890.27539676247,-81627.0982088932,-83327.88477850684,-85104.5912570187,-86735.25399773462,-87840.43004141524,-88958.11001581447,-90084.56189533939,-91246.52669251614,-92443.04271396078,-93631.67211338405,-94797.403803444,-95917.58418531249,-96988.89204299972,-97977.74631937558,-98977.831734931,-99955.69313448657,-100914.10865159536,-101875.8281242595,-102743.04690698755,-103613.54989210855,-104511.81304787651,-105446.9478235719,-106443.14591276579
R,1239828.5845004811,1253580.1599601116,1266272.438599183,1439068.9813876937,1732767.1717716134,1541171.413402696,1487954.1358536019,1601928.8823355557,1589269.8309101167,1622610.6645359048,1659081.125418775,1695925.207802779,1730857.9323719572,1768486.9620298392,1805335.25067683,1843828.3774289868,1879157.402601467,1903101.5273039518,1927316.5552220182,1951721.6303375154,1976896.1084053589,2002819.1539356618,2028571.3323781004,2053827.4218278595,2078096.6221860321,2101306.9777973834,2122730.940411485,2144398.230527003,2165584.027564811,2186348.5210097255,2207184.5961106173,2225973.2722033923,2244833.102011329,2264294.3681191076,2284554.4740864523,2306137.54358821
Ri,459038.88134158123,464130.31728813355,468829.55511598027,532806.408601817,641546.3508627802,570609.2038916539,550905.8353286235,593104.2817764597,588417.3461163014,600761.584013798,614264.5471073926,627905.8411849042,640839.4668272926,654771.3828339375,668414.234255698,682666.0768747517,695746.4303526939,704611.5947718092,713577.0594085378,722612.8878407746,731933.5829741092,741531.4305908884,751066.0157025183,760416.926950617,769402.4485938875,777995.939516209,785928.0294199166,793950.2098579266,801794.1204570214,809482.0460019421,817196.4742102976,824152.86558234,831135.6011666324,838341.0148282545,845842.1940147629,853833.1922814648
Rg,556789.6329645851,562965.272692254,568665.1970597416,646265.7015448593,778161.4407336036,692118.4721270637,668219.3389687131,719403.7995101858,713718.797014708,728691.6979343584,745070.0705982872,761616.2313472313,777304.0281034738,794202.6977269651,810750.7474570484,828037.470958712,843903.2407305235,854656.211447391,865530.8409565868,876490.8179878925,887796.3231055018,899437.9993776025,911002.9416012187,922345.0972549068,933244.0548394327,943667.500112324,953288.7012789579,963019.1774607054,972533.4218560623,981858.4647159594,991215.6538892483,999653.3848918509,1008123.0700123041,1016862.8517402856,1025961.3812443289,1035654.0351164743
bKL,1,0.9984622206656555,0.9967167125412363,1.1219962325837742,1.3364694591297466,1.1754600504629555,1.125471052224549,1.2014197804664217,1.1806396789369666,1.19434915131629,1.2091594397226153,1.2244313754590828,1.2378704987331068,1.2528260794549095,1.2668372234983336,1.281626186617418,1.2959001228976093,1.3022082011874112,1.307997636518248,1.3145560613327358,1.3215748370481126,1.3303802557479258,1.3396871218772446,1.3479305843871512,1.356156394755826,1.3629756539783136,1.372055593048624,1.381287263296842,1.3901998118076748,1.398839100276856,1.407522192634194,1.4148936907363858,1.4223165786117962,1.4301251735789529,1.4384360437192938,1.447561454222306
CPI,1,1.0006919267629506,1.0014932703172819,1.0015191935872565,1.0012550046503037,1.0008895394068256,1.001111717464382,1.0010814643827004,1.0010170551616353,1.0008063398024274,1.000626982939557,1.000346425381019,1.0000406478248842,0.9997172051360803,0.999381153533264,0.9990352023330333,0.9984731524101637,0.9979286244813729,0.9974732345080833,0.9969676921699757,0.9964776822687017,0.9958692496194584,0.995211227947032,0.9946359579031082,0.9940111690183241,0.9934681635008935,0.9926227815844473,0.9917956468560094,0.9909857673498991,0.9901933104230134,0.9894178822899673,0.9886580486404837,0.9879145486701792,0.9871870398528929,0.9864746944568951,0.985775752607546
Rreal,1239828.5845004811,1252713.3740506382,1264384.3709486115,1436886.0732795491,1730595.266667366,1539801.6991126381,1486301.7881983179,1600198.3248419822,1587655.0980976995,1621303.3431318903,1658041.561669836,1695337.8997450063,1730787.579633308,1768987.2225484983,1806453.1678370703,1845609.0167191809,1882030.9770670463,1907051.7476066824,1932198.7683948406,1957657.8515693054,1983883.9781183146,2011126.6159698965,2038332.4418096822,2064903.6519427716,2090616.9738900117,2115122.612880073,2138507.174923329,2162137.1673938925,2185282.67399438,2208001.7083489164,2230791.090011633,2251509.78668957,2272294.8103488632,2293683.2400642247,2315877.423844411,2339413.9463140266
